No.,Name,Gcorr[au],Hcorr[au],Ucorr[au],ZPE[au],TS[au],SPE[au]
86,PreTS_LHSHBUJBRHHDKM-UHFFFAOYSA-N,None,None,None,None,None,-732.934914042044
87,PreSm_DMVYNWPKXDTJCR-UHFFFAOYSA-N,None,None,None,None,None,-883.264491207379
88,PreSm_WAYSWJBQEIKOLM-UHFFFAOYSA-N,None,None,None,None,None,-957.612143133791
89,PreTS_JRMDEKYJHVPHEK-UHFFFAOYSA-N,None,None,None,None,None,-883.226166754309
90,KYPOHTVBFVELTG-UHFFFAOYSA-N,None,None,None,None,None,-262.598901214065
91,PreSm_QRMYSYCFOQUCDX-UHFFFAOYSA-N,None,None,None,None,None,-1381.590729195705
92,PreSm_UKCAWOPUYLQZHE-UHFFFAOYSA-N,None,None,None,None,None,-886.297336797314
93,WLAMNBDJUVNPJU-UHFFFAOYSA-N,None,None,None,None,None,-345.733429132334
94,CQEYYJKEWSMYFG-UHFFFAOYSA-N,None,None,None,None,None,-423.589222827341
95,PreSm_LQBJCMCYAIBSNA-UHFFFAOYSA-N,None,None,None,None,None,-540.580476575375
96,PreSm_LPMBXRNRAJZWRD-UHFFFAOYSA-N,None,None,None,None,None,-580.73291171673
97,PreSm_GEMHISRDFYIWAE-UHFFFAOYSA-N,None,None,None,None,None,-519.277387958222
98,IEPRKVQEAMIZSS-UHFFFAOYSA-N,None,None,None,None,None,-611.89470016782
99,WEOKHGKSYLOTPP-UHFFFAOYSA-N,None,None,None,None,None,-302.385215575249
100,PreSm_IOCTVKGDHOEXDG-UHFFFAOYSA-N,None,None,None,None,None,-724.407051898413
101,FJKIXWOMBXYWOQ-UHFFFAOYSA-N,None,None,None,None,None,-231.962769219759
102,PreTS_JZWDIZWHFNFEHM-UHFFFAOYSA-N,None,None,None,None,None,-459.239581353751
103,PreSm_PAQURWWVNLOSER-UHFFFAOYSA-N,None,None,None,None,None,-564.991932119614
104,PreSm_JZWDIZWHFNFEHM-UHFFFAOYSA-N,None,None,None,None,None,-459.255115535894
105,PreTS_FTNGLPGTWWHWDD-UHFFFAOYSA-N,None,None,None,None,None,-558.48811764023
106,PreTS_KTSLXQZJGCZFNT-UHFFFAOYSA-N,None,None,None,None,None,-958.043181007132
107,PreSm_UXIXHYKPQBYEJZ-UHFFFAOYSA-N,None,None,None,None,None,-442.257153134482
108,PreSm_SKWSSZMCIIIBEJ-UHFFFAOYSA-N,None,None,None,None,None,-690.851224598608
109,PreSm_YPIIBPZLLAVADD-UHFFFAOYSA-N,None,None,None,None,None,-728.879652549425
110,PreSm_LHSHBUJBRHHDKM-UHFFFAOYSA-N,None,None,None,None,None,-732.957784474922
111,PreTS_MNZNVIFZXDNKDK-UHFFFAOYSA-N,None,None,None,None,None,-996.817367712359
112,PreSm_JRMDEKYJHVPHEK-UHFFFAOYSA-N,None,None,None,None,None,-883.239372347845
113,PreTS_XGQPRIXMIRNMML-UHFFFAOYSA-N,None,None,None,None,None,-846.054596080629
114,XNLICIUVMPYHGG-UHFFFAOYSA-N,None,None,None,None,None,-270.575015639799
115,PreTS_KWZSFJRUKQCUSQ-UHFFFAOYSA-N,None,None,None,None,None,-516.202106445162
116,PreSm_VDMGCYGPMXPWLU-UHFFFAOYSA-N,None,None,None,None,None,-656.120603305009
117,PreTS_RAFBSPDJIKTCTH-UHFFFAOYSA-N,None,None,None,None,None,-960.640165756691
118,PreSm_OTNMAAZBFXEROU-UHFFFAOYSA-N,None,None,None,None,None,-1345.424466994134
119,PreTS_LLSLAEIOMBGCPF-UHFFFAOYSA-N,None,None,None,None,None,-541.758671657521
120,PreTS_DVTODMXZPBILJV-UHFFFAOYSA-N,None,None,None,None,None,-516.228865599566
121,PreSm_XOWDNMOPCKCIPQ-UHFFFAOYSA-N,None,None,None,None,None,-654.72551841029
122,PreTS_KVRASCBOZYQKPM-UHFFFAOYSA-N,None,None,None,None,None,-519.262272141676
123,PreTS_TTYMIFDWXMXQKB-UHFFFAOYSA-N,None,None,None,None,None,-689.813230523941
124,XLWCIHPMASUXPI-UHFFFAOYSA-N,None,None,None,None,None,-579.343704943787
125,PreTS_QTLQRSOLNXSEBX-UHFFFAOYSA-N,None,None,None,None,None,-1114.824879716289
126,PreTS_ZVWKKIHMYDASET-UHFFFAOYSA-N,None,None,None,None,None,-883.224755801088
127,PreSm_HYORNCICFVQNNC-UHFFFAOYSA-N,None,None,None,None,None,-766.701041239101
128,PreSm_XGHNITYXBWNXEP-UHFFFAOYSA-N,None,None,None,None,None,-822.186594972849
129,FWZUNOYOVVKUNF-UHFFFAOYSA-N,None,None,None,None,None,-345.145913052701
130,PreTS_CNSPVLATOGYEPW-UHFFFAOYSA-N,None,None,None,None,None,-730.070262006801
131,PreSm_VOJCRTXPRRYGEJ-UHFFFAOYSA-N,None,None,None,None,None,-724.414087644307
132,PreSm_UPGNLSUGROQKQY-UHFFFAOYSA-N,None,None,None,None,None,-730.090984467257
133,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,None,None,None,None,None,-118.176525359578
134,PreTS_PITUDLJUKSOXNX-UHFFFAOYSA-N,None,None,None,None,None,-656.097106316083
135,PreSm_DSJRRPZOVZUSDB-UHFFFAOYSA-N,None,None,None,None,None,-516.219343799936
136,PreTS_UKAATJGJTFJBLP-UHFFFAOYSA-N,None,None,None,None,None,-588.977472807914
137,PreTS_SBNMFKKCXNCQHX-UHFFFAOYSA-N,None,None,None,None,None,-736.189905867176
138,UUIQMZJEGPQKFD-UHFFFAOYSA-N,None,None,None,None,None,-345.709191631431
139,PreSm_FOMAPOLFAPPPJX-UHFFFAOYSA-N,None,None,None,None,None,-883.23560353205
140,PreTS_ZQEXKJCBJFGSEF-UHFFFAOYSA-N,None,None,None,None,None,-633.885004082036
141,PreSm_KTSLXQZJGCZFNT-UHFFFAOYSA-N,None,None,None,None,None,-958.047436640465
142,ZJMWRROPUADPEA-UHFFFAOYSA-N,None,None,None,None,None,-387.990963473858
143,PreSm_PAFIDFZXBGPBEA-UHFFFAOYSA-N,None,None,None,None,None,-732.948133120505
144,SOGAXMICEFXMKE-UHFFFAOYSA-N,None,None,None,None,None,-462.814395469048
145,PreSm_NOVUJBILWVXQMB-UHFFFAOYSA-N,None,None,None,None,None,-696.982496618024
146,PreTS_QLLLTQFPEFMDHX-UHFFFAOYSA-N,None,None,None,None,None,-696.962620586783
147,PreTS_QRMYSYCFOQUCDX-UHFFFAOYSA-N,None,None,None,None,None,-1381.57960578222
