No.,Name,Gcorr[au],Hcorr[au],Ucorr[au],ZPE[au],TS[au],SPE[au]
344,PreSm_RHDGEXIVBRXKBT-UHFFFAOYSA-N,0.22300421,0.2863137774129427,0.28536956999999996,0.26783416,0.06330957,-656.083863067413
345,PreTS_UATUUTJCNKVMJH-UHFFFAOYSA-N,0.22707275,0.2834568325130249,0.28251262,0.26790504,0.05638408,-504.794103682513
346,PreSm_DQTMTWJQRKLULM-UHFFFAOYSA-N,0.21369602,0.27581674857401595,0.27487253,0.25782811,0.06212073,-672.125473308574
347,KGIGUEBEKRSTEW-UHFFFAOYSA-N,0.09198181,0.13007443360197612,0.12913022000000002,0.12260097,0.03809262,-325.707679513602
348,PreTS_NOVUJBILWVXQMB-UHFFFAOYSA-N,0.29340039,0.3551372322590396,0.35419303,0.33708241,0.06173685,-698.537050782259
349,PreSm_CPWZUGVKPAXLKC-UHFFFAOYSA-N,0.34934569,0.4286781133899922,0.4277339,0.40271372,0.07933242,-888.83805577339
350,PreTS_NAKOQLYUZUIIKF-UHFFFAOYSA-N,0.19042415,0.24846477348899043,0.24752056,0.23212635,0.05804063,-652.952762123489
351,PreTS_RMURYMQQIOBLTI-UHFFFAOYSA-N,0.09844606,0.14544645552894053,0.14450225,0.13459527,0.0470004,-748.944912725529
352,PreTS_OGNXZBKXWHVOOW-UHFFFAOYSA-N,0.17964598,0.23484633962596035,0.23390212999999999,0.21989292,0.05520036,-502.420652279626
353,UZKWTJUDCOPSNM-UHFFFAOYSA-N,0.13858258,0.1811210638529701,0.18017685,0.17147371,0.04253848,-311.096015373853
354,PreTS_PHPSOQOEDASRAY-UHFFFAOYSA-N,0.10599945,0.15403349763499818,0.15308928,0.14257348,0.04803405,-381.583144147635
355,PreSm_IJOZXCHDWOLXNX-UHFFFAOYSA-N,0.22190367,0.28555059616201106,0.28460639000000004,0.26681068,0.06364693,-730.349100386162
356,PreTS_PLHTVEWPTJUOJO-UHFFFAOYSA-N,0.22725963,0.2869205130119781,0.28597629999999996,0.27021942,0.05966088,-656.066212703012
357,PreTS_BAPYEJRXHRDUON-UHFFFAOYSA-N,0.17376583,0.22336846490503603,0.22242425999999998,0.21096109,0.04960264,-351.890710624905
358,PreSm_JFQWDJUUOXFUHD-UHFFFAOYSA-N,0.10386136,0.153515421213001,0.15257121,0.14140047,0.04965406,-289.343562261213
359,PreSm_DVTODMXZPBILJV-UHFFFAOYSA-N,0.14355553,0.20168788014609618,0.20074366999999999,0.18603414,0.05813235,-517.280921620146
360,PreSm_HYORNCICFVQNNC-UHFFFAOYSA-N,0.2140284,0.27636443495600815,0.27542023,0.25829408,0.06233603,-768.243520474956
361,PreSm_IUVKJVZQHNYEAZ-UHFFFAOYSA-N,0.30715574,0.3868732551220546,0.38592904,0.36049148,0.07971751,-998.797892795122
362,PreSm_FYZCCZUUFNOVHK-UHFFFAOYSA-N,0.16839575,0.23277818455494526,0.23183398,0.21394797,0.06438244,-648.828448274555
363,PreSm_PLHTVEWPTJUOJO-UHFFFAOYSA-N,0.22384577,0.2873017900059267,0.28635758,0.26898774,0.06345602,-656.082218360006
364,PreTS_XZUSKPJPSSITCC-UHFFFAOYSA-N,0.04190532,0.09607030882693834,0.09512609999999999,0.08183517,0.05416499,-991.133973728827
